Input 1,Input 2,Input 3,Input 4,Input 5,Input 6,Input 7,Input 8,Input 9,Input 10,Input 11,Input 12,Input 13,Output 1 (T),Output 2 (Id)
2.427532521,182,10.8,5.7,30,280.736,24.055,61.515,1.884,6.74,21.155,1.257,19.849,1.504574685,0.11856487
17.08491242,196,26.1,15.7,29,315.662,27.073,51.339,2.223,13.493,49.611,1.47,18.134,15.35735792,1.06913785
11.97377855,259,25.6,17.4,21,416.344,18.85,50.826,1.699,6.415,46.697,1.705,14.127,15.16640364,0.92994563
25.62736864,366,45,31.5,31,381.281,29.433,69.068,2.026,14.641,11.072,2.43,6.735,26.95740854,1.621157851
23.43541944,125,36.9,24.2,19,484.29,18.024,1.06,2.337,8.297,71.412,2.452,18.202,6.934496242,0.489818475
15.17976032,420,26.4,14.4,26,176.055,29.561,28.981,1.914,6.217,28.208,1.745,5.39,33.19207218,1.974240172
59.64355219,395,57.6,46.2,22,266.814,17.838,7.704,2.374,11.37,70.285,1.672,18.429,124.7536635,6.077219086
27.60422001,133,31.3,18.6,29,299.512,24.867,63.127,1.487,4.298,7.705,2.3,10.01,22.4782592,1.867483732
49.76953805,247,43.6,32.2,16,372.106,17.806,34.334,1.455,9.221,73.726,2.291,18.418,92.29321419,5.708780668
39.80333914,241,42,23.2,33,288.824,38.347,49.016,2.302,10.526,28.281,1.684,19.667,57.61933867,3.895262529
21.37662604,392,45,31,21,163.913,20.23,9.837,1.952,5.072,14.504,1.791,18.026,34.11798612,2.045559534
10.72416265,266,30.4,23.9,18,317.259,18.055,5.756,2.098,3.97,49.918,1.396,15.84,10.41651788,0.642064001
14.21694151,194,26.2,17.1,17,211.642,18.224,12.335,1.205,14.69,24.224,1.587,12.509,17.87678604,1.396016868
14.04281471,356,31.2,21.2,19,117.681,22.113,19.934,2.029,11.555,9.747,2.188,13.277,24.77503346,1.662989248
38.14401311,135,57.7,49.2,26,179.244,21.138,61.99,1.854,7.087,63.835,1.745,14.918,29.19383702,2.589837401
5.664242548,126,21.4,14.3,17,274.11,18.726,55.328,1.948,6.259,7.369,1.43,18.097,1.650977825,0.163821112
59.40796886,481,43.6,29.2,35,133.89,33.096,27.943,1.603,6.206,67.802,1.405,19.415,150.5272167,6.572815513
30.44146267,348,46.4,35.5,34,391.976,30.501,33.642,1.691,2.573,20.282,1.832,16.462,47.21127937,2.315229367
39.09658916,273,46,33.9,33,382.404,33.419,12.935,1.884,7.105,69.542,2.435,15.985,58.24826823,3.24408156
6.176380211,263,25.6,19.1,19,330.149,22.417,58.765,1.533,11.09,10.11,1.543,5.552,4.423851299,0.328000738
30.88190106,91,42.8,22.6,17,268.977,16.877,1.433,1.882,5.271,69.134,1.227,15.929,5.806557033,0.553370474
4.916521561,199,10.6,5.5,22,405.5,21.301,51.48,2.013,8.642,59.023,2.118,5.911,6.746178128,0.444948383
13.91990167,233,32,25.5,26,444.723,25.918,68.457,1.657,8.111,47.996,2.017,13.47,14.1194606,0.944784842
7.108470757,134,14.3,8,16,471.112,18.954,34.983,2.264,8.686,12.844,2.37,19.821,6.561898777,0.508089536
37.76503124,242,52.7,41.8,25,368.319,20.484,39.461,2.327,9.064,74.783,2.467,6.963,48.70616893,2.958665788
9.382361979,106,41.8,34.7,34,261.224,31.231,68.174,1.994,10.875,46.93,1.503,10.772,0.683305511,0.052176165
41.1041688,176,59.6,48.4,16,186.821,13.234,14.591,2.16,12.064,8.688,1.73,7.836,46.33803732,3.803261906
32.57195534,462,39.3,31.2,30,461.402,31.071,64.071,1.632,2.659,22.998,2.139,15.814,86.34381025,3.635575434
16.47034723,162,38.2,27,34,423.967,39.54,54.271,1.804,7.035,49.103,1.534,16.451,7.666199056,0.861859021
10.82659019,366,20.9,12.3,16,101.803,13.013,37.709,1.945,11.758,73.999,1.974,5.036,23.69757127,1.590385474
87.52432654,394,56.4,41.7,25,186.784,22.38,52.9,2.288,2.437,14.177,2.404,5.315,225.6956015,12.24396757
30.67704599,345,40.8,31.4,30,434.464,26.46,65.943,1.88,6.399,10.174,2.098,10.519,53.09845765,2.884355014
12.36300318,163,32.5,26.2,33,217.603,26.787,66.419,2.135,9.23,28.648,2.011,19.746,8.205164899,0.669396081
22.75939773,297,38.3,30.1,21,463.3,24.615,57.123,2.483,6.429,10.319,2.207,12.598,36.36949401,2.160681582
29.34548807,351,33.6,17.3,34,183.216,33.412,4.915,2.469,8.61,25.044,1.403,15.496,40.52415968,2.171718538
57.25699068,277,49.9,36.3,24,413.697,23.873,27.341,2.27,11.604,52.476,1.715,7.849,94.33689782,5.298350689
74.10631978,209,49.6,30.4,29,144.59,34.454,45.291,2.044,13.305,73.605,1.624,5.289,132.0620473,9.843832736
20.44453549,391,44.3,35.6,26,105.901,28.229,2.625,1.994,7.443,35.415,2.452,9.559,42.05412229,2.726168816
19.56365871,143,27.5,19.2,16,275.224,17.426,23.577,1.543,12.427,50.044,2.173,13.382,18.98771624,1.500170446
12.21960463,158,38.7,31.4,22,242.694,18.02,25.137,1.312,3.181,49.66,2.29,8.232,11.79927508,0.968001174
9.689644576,303,17.8,11.8,27,104.855,23.803,54.492,1.952,11.529,7.687,1.985,17.138,22.4704287,1.431966005
90.66885179,135,51.6,29.5,32,409.484,37.535,39.077,1.201,7.495,40.927,1.21,16.91,100.6019396,8.42771428
6.70900338,408,20.5,14.9,25,237.121,25.157,1.179,1.752,6.357,13.566,1.997,16.591,9.414859928,0.479293166
39.28095872,390,57.5,46.5,22,499.154,26.375,7.401,1.501,11.683,75.117,2.44,11.908,85.08513922,3.917873021
29.4479156,137,54.9,44,23,415.325,26.949,17.24,1.451,8.481,50.011,2.159,10.133,24.91405993,2.05108277
32.11103145,193,37,27.6,17,313.25,17.441,50.239,2.474,10.51,36.965,2.04,18.211,43.04617505,2.940906818
18.887637,325,22.3,13.4,17,335.567,19.442,39.641,2.323,11.516,78.402,2.076,5.427,38.06832167,2.132832085
29.22257503,439,42.9,36.2,34,199.533,29.797,35.547,2.294,11.582,33.635,1.625,16.198,66.86488228,3.124532211
29.7551982,169,43.8,35.9,19,147.907,20.362,41.791,1.698,7.932,35.518,2.464,16.928,39.5793285,3.652611666
18.26282905,362,36.2,27.5,28,425.536,24.704,38.979,1.781,7.606,67.629,2.383,10.323,31.07214192,1.584202663
15.21048858,446,22.1,15,24,180.11,28.355,48.487,1.843,3.338,69.1,2.425,13.211,46.66451107,2.30849412
71.84267131,478,52.7,36.6,35,256.841,40.144,67.015,2.141,3.71,34.162,2.191,7.564,217.6226595,10.66356417
1.720782546,107,11.7,6.5,22,476.813,24.558,22.348,1.25,3.414,52.025,1.458,7.322,0.924215782,0.090219134
15.4255864,482,29.6,19.5,31,481.659,25.451,13.132,1.341,8.185,26.88,2.32,14.436,33.96178057,1.381613943
6.012496159,454,22.2,17.2,23,145.684,27.266,41.975,1.968,14.175,60.961,2.13,11.523,13.72283289,0.71972101
18.46768411,349,34.6,17.5,26,145.188,24.524,42.107,1.385,5.555,60.364,1.465,14.993,33.31114056,2.039087444
9.63843081,245,20.8,13.7,27,279.248,30.854,22.305,1.899,11.915,19.3,1.568,19.672,16.4967462,1.025750221
20.87473113,456,34.7,27.5,30,257.605,28.674,21.005,1.933,4.681,14.466,2.303,19.282,38.16998589,1.718824241
7.282597562,320,14.1,7.8,30,388.392,30.729,23.641,2.085,13.212,30.888,1.242,6.378,13.85723581,0.735022248
16.61374577,196,47.4,38.9,15,132.341,15.276,63.624,2.008,14.533,70.145,2.204,8.039,7.765312406,0.754279076
90.30011267,246,50.4,27.8,24,455.363,26.389,22.134,1.276,10.862,65.411,1.742,14.37,148.7291247,8.743480679
10.90853221,219,20.1,14.3,22,242.431,24.002,32.486,1.987,14.637,47.269,1.467,5.762,17.14700394,1.183443996
118.5905972,272,56.5,35.1,31,400.14,33.131,38.742,2.324,2.626,77.555,2.35,19.306,235.0628384,11.83544402
22.28823108,356,38.4,20.3,21,225.365,21.325,66.723,1.316,12.846,73.37,1.296,7.006,15.52036461,1.181009403
102.8167571,210,57.8,31.3,25,252.546,27.115,13.025,1.84,2.252,49.766,1.981,9.829,120.320212,9.134070011
72.26262419,320,45.2,26.1,29,433.007,23.203,1.515,2.231,8.519,5.298,2.345,15.192,116.4837402,5.82526621
5.623271535,90,30.1,24.9,19,447.635,22.005,65.432,2.414,7.901,43.932,1.902,16.478,0.401569147,0.032582513
3.564478132,338,12.9,6.8,29,260.903,25.34,16.972,2.294,3.46,33.775,1.56,17.906,4.097919962,0.216413083
51.75663218,384,54.9,43.8,18,157.1,20.013,45.899,2.461,5.934,11.279,2.016,17.419,116.8760356,6.864256073
7.702550446,361,20.2,14.9,34,348.565,39.815,11.354,1.713,6.791,16.802,1.572,13.42,13.34253955,0.644101318
20.01433985,412,38.7,23.8,26,135.491,22.222,13.208,1.95,12.271,76.516,2.421,16.335,40.40849218,2.168581472
15.98893783,201,32,23.9,15,285.908,15.839,24.191,2.405,6.103,73.808,1.208,10.265,17.9884884,1.337994252
13.11072416,438,41.8,36.6,18,169.104,21.527,30.33,2.348,3.883,51.013,1.907,14.604,32.08540422,2.213037266
20.08603913,189,36.8,23.8,33,310.487,34.679,33.913,1.417,6.922,47.012,2.104,7.556,22.40560638,1.785273344
36.64857114,160,47.4,34.7,28,326.522,30.258,7.681,2.202,2.151,31.229,1.464,14.969,34.23063602,2.791543413
8.88046707,452,22.2,17,34,476.137,32.138,65.609,1.662,6.567,51.757,2.11,12.427,18.11706587,0.85905621
27.7168903,392,58.2,43.2,21,414.462,20.537,24.519,2.357,8.794,36.722,1.59,8.757,42.70340686,2.01604361
8.890709823,367,15.9,8.3,28,167.284,23.15,12.861,1.78,5.357,30.987,1.467,6.019,14.0942712,0.792686562
14.62665164,349,23.7,16.2,25,258.645,20.906,61.759,1.632,6.939,38.179,2.001,7.397,29.27747069,1.624787626
10.59100686,471,27.9,22.9,16,334.89,17.784,2.63,2.279,7.463,54.925,2.245,15.38,18.15304171,0.841042768
8.982894602,204,19.2,12.4,23,398,20.441,0.213,2.333,14.973,25.649,2.478,11.599,8.820777885,0.558215539
53.40571546,254,50.2,32.9,32,344.837,29.55,9.853,1.567,3.75,25.745,1.575,8.768,63.48471949,3.916096028
19.72754276,272,22.3,12.5,32,248.278,30.918,3.642,1.755,9.355,78.666,2.337,5.309,32.73709376,1.983755754
9.874014135,330,18.3,12.2,18,452.74,18.517,64.706,1.4,14.414,35.76,2.051,18.317,5.728116457,0.421228409
13.94038718,104,34,17.3,35,140.435,37.563,56.479,1.293,8.885,26.608,2.217,5.562,0.964088734,0.077023178
23.38420567,248,38.8,30.2,31,487.136,30.262,18.025,1.566,14.973,45.347,1.729,7.61,29.03882958,1.705669698
41.07344054,260,36,18.6,20,262.811,23.522,50.986,1.835,12.026,72.401,2.089,8.157,74.59372563,4.784299033
20.93618765,329,29.4,19.3,18,399.747,15.63,68.705,2.105,10.324,74.154,1.596,9.144,32.64947662,1.709977826
7.876677251,496,20.9,15.2,19,227.185,18.6,19.848,2.027,3.427,67.651,2.308,12.747,17.32735531,0.922170888
68.71863157,362,52.9,34.4,23,127.304,21.356,5.494,2.18,9.874,42.258,2.132,19.015,114.6906461,6.739543768
53.96906689,213,58.9,45.9,21,466.983,22.111,60.904,1.219,14.632,8.426,1.444,11.367,31.89100798,2.298681428
40.94028475,398,59.1,46.5,32,189.863,35.635,53.861,1.789,6.366,33.975,1.677,13.333,90.0348913,4.961401825
12.10693434,486,18.3,9.4,21,467.932,16.909,28.408,1.504,2.076,32.52,2.49,18.787,19.70365749,0.794112217
18.72375294,153,33.9,21.3,29,263.678,31.033,7.303,2.271,14.473,51.487,2.48,15.383,14.63789131,1.119405911
107.0470142,305,58.8,37,34,224.035,38.306,3.042,2.175,13,67.103,2.031,16.046,193.1963094,10.46703858
21.59172386,151,56.1,49.2,23,123.876,23.322,22.534,1.511,6.021,10.138,1.476,17.843,24.50905301,2.523439567
6.26856499,272,13.8,8.5,30,315.43,28.642,31.631,2.202,3.682,51.005,1.588,7.195,9.747936122,0.590926096
8.183959848,224,26.7,14.2,23,147.557,20.3,2.116,1.531,8.005,45.144,1.481,10.121,8.897762578,0.687751794
7.405510601,159,32,26.4,24,388.956,27.427,53.921,1.405,14.192,52.819,1.369,10.513,1.441254238,0.123636062
32.43879955,365,45.7,27,21,366.951,24.682,48.512,1.918,12.794,7.291,1.873,7.699,55.99436066,3.005477863
8.306872887,124,20.3,14.4,26,196.601,30.319,65.919,1.735,11.541,18.407,1.682,17.54,5.46249411,0.527111463
90.68933729,214,57.7,35.3,20,393.093,16.197,38.09,1.342,8.884,28.676,2.12,12.774,101.8853681,6.38588861
23.50711871,384,41.1,31.4,25,223.143,22.548,53.785,2.228,9.718,20.277,1.619,6.965,46.63843959,2.549082522
82.55659121,186,59.6,44.1,35,484.685,37.25,51.426,1.685,6.173,70.581,2.46,19.688,98.35886368,7.141526681
54.44023353,189,46.9,25,23,194.307,20.929,36.169,2.288,5.303,12.662,1.611,19.495,64.76570634,5.203189156
14.6368944,138,29.6,24.5,21,340.185,18.2,59.962,2.318,7.754,28.938,2.491,13.256,12.78828575,0.992064752
77.14841749,499,54.9,40,35,304.216,35.688,64.686,1.927,11.855,74.682,2.268,5.54,192.4330535,8.773502695
42.58936802,326,44.2,34.2,21,405.329,22.565,41.396,1.505,14.665,48.322,2.498,11.803,73.48197709,3.83297899
5.8281266,246,23.3,16,26,383.814,21.643,19.836,2.133,7.43,26.468,1.783,5.239,6.485810663,0.380291843
27.07159685,457,49.8,30.1,27,448.123,22.078,20.825,1.679,6.909,33.168,1.5,9.278,44.59470655,1.897162907
27.04086859,276,33.2,17,31,187.605,28.517,61.089,2.384,12.001,53.409,1.688,15.018,36.45289647,2.420870535
22.33944484,284,44.2,28.6,18,148.638,14.804,62.33,1.657,13.403,15.475,2.121,6.337,20.30639101,1.583828271
20.3113797,469,25.4,16.1,21,486.78,25.197,64.41,1.745,13.014,52.987,2.023,13.974,49.4195317,2.183856193
43.49073031,420,56.1,45.2,22,158.307,25.182,46.74,2.016,8.756,44.958,1.6,16.403,97.64477497,5.135225908
35.2760422,445,53.2,37.3,30,330.556,25.449,5.769,2.079,2.157,58.661,1.839,11.076,33.55667965,1.480742324
24.96158968,99,48.6,39,33,204.439,28.466,36.738,2.213,9.209,73.208,1.825,10.683,10.75466949,1.050677054
82.28003687,131,58.9,39.6,25,208.857,29.712,27.301,1.487,3.025,63.505,1.779,8.201,94.72403124,9.761654588
60.97511011,227,52.9,40,28,271.269,31.474,4.667,1.766,4.317,44.123,1.653,10.982,79.15419627,5.291408449
14.22718427,353,53.8,46.5,19,240.511,22.605,66.706,1.441,2.897,55.011,1.952,9.439,27.44623616,1.787661028
48.9706033,479,44.4,24.4,18,262.496,18.493,59.918,2.098,7.921,13.787,2.449,10.97,103.8735143,5.043629916
4.404383898,195,11.8,6.2,25,217.982,22.053,40.593,1.826,13.815,18.156,2.411,6.984,5.512362396,0.397865314
71.59684523,262,44.2,22.6,30,485.389,33.981,50.187,2.189,12.544,25.969,2.31,11.797,109.0376685,6.320703697
21.29468401,459,28.5,20.6,23,112.939,18.941,68.679,1.576,14.657,5.536,1.672,13.082,61.16297872,3.235215592
32.70511113,130,54.2,48.1,32,270.733,28.916,68.539,2.472,12.358,37.515,1.681,14.634,26.55788117,2.125191857
3.513264365,179,11,5.9,21,492.048,20.854,39.301,1.831,12.274,64.331,2.117,6.024,2.683568289,0.18462003
25.57615487,170,28.8,19.3,22,318.377,22.202,30.441,2.377,12.202,58.514,2.246,10.566,30.58767879,2.194152161
43.53170132,408,58.5,43.3,25,271.1,20.922,9.151,1.876,11.859,46.977,2.481,17.126,89.89646075,4.25832254
15.14903206,177,20.3,12.6,32,152.265,35.48,11.472,2.407,9.549,20.387,2.294,8.707,21.59855209,1.805312167
8.020075796,445,29,23.1,34,312.023,37.133,40.332,2.273,6.777,40.761,2.07,19.898,15.18151448,0.720328278
27.29693742,481,34.8,18.4,29,403.08,27.592,5.301,1.427,12.37,35.923,1.465,13.394,63.68599895,2.679223995
53.53887125,389,48.2,33.8,32,415.536,33.006,42.969,1.896,14.117,75.017,1.716,9.781,106.6553539,5.08664424
38.66639353,448,59.6,42.7,22,120.974,21.242,22.218,1.512,5.696,58.567,2.094,15.795,87.64321717,5.165695687
49.20618662,126,56.3,41.8,21,488.432,17.642,55.641,1.252,6.172,42.92,2.272,10.055,22.43248087,1.815296762
48.69404896,145,43.6,29.1,33,372.196,29.755,39.908,1.456,4.945,21.39,1.769,19.035,45.69653169,3.484801462
19.41001741,361,35,24.6,16,205.506,15.604,1.679,2.422,7.94,15.157,1.278,16.319,28.2198153,1.638158908
15.95820957,186,28.8,19.9,24,438.411,22.835,14.73,1.217,11.06,24.386,1.777,8.628,13.54373068,0.945948228
8.337601147,363,27.3,16.6,34,160.396,38.645,26.706,1.741,11.651,34.313,1.535,10.204,14.74958462,0.847973595
30.24685035,101,56.9,45.8,20,192.885,20.425,46.823,2.358,8.379,50.979,2.263,8.524,11.87948892,1.264557825
4.260985353,455,11.8,6.7,30,362.616,32.503,4.616,1.379,9.8,30.443,1.402,10.488,8.25957696,0.371003075
21.70439414,100,26.3,17.1,16,429.256,17.362,34.788,2.011,7.553,72.24,1.377,9.662,15.00851667,1.333751581
44.29990782,400,40.3,27.4,18,438.672,15.932,49.146,1.992,6.375,21.978,2.109,19.964,83.27557733,3.92539207
8.614155485,119,21.6,15.1,28,309.525,23.543,14.446,1.203,8.947,44.797,1.761,14.201,5.213346011,0.424138963
76.62603708,484,54.5,27.3,32,441.058,30.696,42.678,1.816,12.379,40.433,1.79,6.635,163.7946938,7.222266284
25.55566936,414,32.1,17.1,20,408.595,23.848,26.767,2.017,5.181,29.799,1.236,7.366,42.49529437,2.23091313
47.18836423,270,41.5,27.3,28,277.707,29.853,26.118,1.54,5.206,25.388,2.428,8.889,77.84745935,4.853080159
29.32500256,290,48.5,41.3,17,158.417,18.901,65.277,2.453,11.333,55.581,1.449,18.501,60.26329307,3.914894984
8.327358394,121,18.6,12.8,15,469.616,16.853,40.223,1.694,14.626,13.629,1.872,15.141,1.688706343,0.170591413
7.507938134,438,15.4,9.8,30,378.547,25.929,56.01,1.731,9.938,54.047,2.012,9.371,16.20386332,0.751458671
22.41114412,181,51.5,36.2,23,380.67,26.356,9.335,2.389,14.785,75.407,1.982,12.158,6.401471732,0.412118871
8.972651849,227,28.6,19.6,22,375.593,23.135,50.666,2.265,10.22,11.736,2.366,6.172,5.50305179,0.386621658
4.455597665,284,19.3,13.9,24,225.049,22.219,22.176,1.604,12.095,27.714,1.656,12.525,7.37436627,0.454215166
5.520844003,306,23.2,17.3,30,251.209,30.007,18.1,1.351,14.142,53.412,2.145,6.522,9.371815465,0.554192685
79.26866742,165,49.8,26,32,272.58,36.662,36.491,1.589,13.627,77.294,1.661,18.277,87.87956906,6.883550722
6.391478029,451,15.1,9.8,23,298.982,21.406,12.121,2.113,7.672,17.887,2.005,7.86,11.02917665,0.517379309
7.385025095,165,23.2,17,30,435.814,26.403,15.269,1.367,2.537,61.694,1.802,15.144,5.474643334,0.366719275
18.32428557,133,42.6,35.8,26,290.582,23.927,32.096,1.479,6.203,53.834,1.76,7.555,14.56436637,1.293238533
12.74198505,345,19.2,12.7,21,325.755,24.353,52.177,1.229,2.122,46.008,2.19,7.299,32.86765509,1.721794771
47.68001639,468,46.1,29.1,28,157.429,32.306,43.801,2.012,13.349,33.754,2.343,16.979,109.1050774,5.24967225
83.49892451,444,52.7,37,18,102.332,15.913,56.597,2.495,11.841,9.587,1.466,11.971,215.7308233,12.86318943
23.30226365,185,32.2,23,30,170.004,26.941,32.05,1.392,13.378,7.587,1.489,15.032,31.37908924,2.445171271
16.04015159,493,30.7,25.1,15,308.093,16.978,15.87,2.432,14.18,66.416,2.194,13.623,42.84284009,1.915070297
59.44893988,213,46,26.2,27,154.804,21.824,5.475,1.411,6.463,7.833,2.286,13.457,75.38894716,5.91970695
5.10089112,388,12.1,6.8,31,419.66,27.443,18.853,1.475,4.656,5.607,1.584,19.615,9.572116007,0.437787776
121.9809485,371,59.8,35.8,29,248.484,27.987,45.396,2.033,11.305,64.38,1.333,15.394,288.7749206,14.38958095
7.518180887,132,15.6,10.6,32,130.815,32.517,39.113,2.065,13.671,31.184,1.539,13.717,10.02613964,0.92929388
11.62552494,391,43.5,35,35,247.417,30.811,49.432,1.987,4.695,63.746,1.35,5.911,17.42756442,0.986293653
7.979104783,112,32.9,27.5,34,313.582,28.493,46.6,2.21,11.63,38.396,2.072,10.368,1.253079733,0.100890763
22.41114412,443,30.7,22.6,22,455.803,24.945,67.036,1.515,8.876,29.777,1.979,5.571,54.7010904,2.568298969
15.54849944,120,32.5,24.9,29,386.471,23.35,54.023,2.498,3.374,32.01,1.802,17.165,8.542531349,0.73104564
54.46071904,148,45,25.4,21,333.087,24.075,16.469,2.44,6.414,60.491,2.069,14.321,50.48464087,4.131339435
15.39485814,303,31.4,23.9,24,424.023,20.048,69.892,1.863,5.949,49.11,2.345,16.417,21.48490994,1.218384103
6.504148315,326,15,10,28,445.097,23.909,62.689,1.462,9.033,10.253,1.485,11.474,10.54583692,0.57282133
9.525760524,158,41.3,34,30,179.733,28.465,24.235,1.412,7.146,24.564,2.139,7.394,8.938977534,0.817549422
46.32797296,389,37.2,19.8,32,389.056,27.587,37.142,2.096,2.405,59.019,2.075,5.111,83.30752557,3.965797072
23.2920209,173,26.7,16,28,227.274,28.52,67.444,1.64,10.603,59.618,2.037,9.807,24.73064834,1.891016776
36.63832838,321,40,30.4,18,164.314,19.426,57.564,1.842,2.409,34.452,1.298,8.976,87.61631863,5.571309141
19.76851378,253,25.5,15,18,349.988,19.673,9.547,2.259,14.407,63.13,1.979,18.833,30.99588063,1.792216405
11.09290177,210,29.9,22.7,18,357.953,21.114,30.019,1.671,14.246,17.389,2.265,16.31,7.164350655,0.514901663
58.05592543,393,42.4,27.5,29,439.19,32.299,49.963,1.317,7.609,17.112,1.213,7.397,141.7091988,6.846795198
